"hora","viaje","ascensor_1","esperan"
"7:00","1","1","0"
"7:08","2","2","0"
"7:16","3","2","0"
"7:25","4","1","0"
"7:32","5","1","0"
"7:38","6","2","0"
"7:46","7","4","0"
"7:50","8","1","0"
"7:54","9","2","0"
"8:05","1","2","0"
"8:11","2","3","0"
"8:16","3","1","0"
"8:21","4","1","0"
"8:26","5","1","0"
"8:31","6","2","0"
"8:36","7","1","0"
"8:42","8","6","0"
"8:48","9","8","0"
"8:57","10","5","0"
"9:00","1","6","2"
"9:07","2","3","0"
"9:15","3","1","0"
"9:22","4","5","0"
"9:29","5","3","0"
"9:36","6","2","0"
"9:44","7","1","0"
"9:52","8","3","0"
"9:58","9","3","0"
"10:02","1","3","0"
"10:10","2","1","0"
"10:17","3","2","0"
"10:24","4","1","0"
"10:31","5","2","0"
"10:39","6","1","0"
"10:46","7","3","3"
"10:54","8","4","0"
"11:00","1","3","0"
"11:05","2","3","0"
"11:10","3","8","0"
"11:16","4","9","2"
"11:22","5","7","3"
"11:26","6","1","4"
"11:30","7","7","6"
"11:35","8","7","0"
"11:40","9","3","0"
"11:46","10","4","0"
"11:51","11","3","0"
"11:57","12","8","0"
"12:07","1","2","0"
"12:13","2","1","0"
"12:27","3","1","0"
"12:40","4","1","0"
"12:53","5","1","0"
"1:00","1","1","0"
"1:13","2","1","0"
"1:28","3","1","0"
"1:40","4","1","0"
"1:55","5","2","0"
"2:00","1","7","0"
"2:08","2","8","2"
"2:14","3","7","0"
"2:21","4","9","0"
"2:30","5","3","6"
"2:42","6","1","0"
"2:54","7","1","0"
"3:02","1","2","0"
"3:06","2","1","0"
"3:10","3","1","0"
"3:13","4","1","9"
"3:17","5","9","3"
"3:20","6","3","0"
"3:25","7","3","0"
"3:28","8","1","0"
"3:32","9","1","0"
"3:37","10","2","0"
"3:41","11","1","0"
"3:45","12","4","0"
"3:51","13","1","0"
"3:56","14","1","0"
"4:00","1","6","0"
"4:04","2","2","0"
"4:08","3","7","5"
"4:11","4","4","4"
"4:13","5","1","3"
"4:18","6","7","2"
"4:21","7","1","4"
"4:24","8","4","0"
"4:29","9","1","0"
"4:31","10","1","0"
"4:34","11","3","0"
"4:38","12","2","0"
"4:04","13","4","0"
"4:46","14","4","0"
"4:50","15","4","0"
"4:53","16","1","0"
"4:59","17","2","0"
"5:00","1","3","0"
"5:04","2","1","0"
"5:09","3","2","0"
"5:12","4","3","0"
"5:16","5","2","0"
"5:20","6","2","0"
"5:24","7","2","0"
"5:28","8","3","0"
"5:34","9","3","0"
"5:41","10","2","0"
"5:47","11","2","0"
"5:53","12","2","0"
"6:00","1","4","0"
"6:08","2","7","0"
"6:16","3","1","0"
"6:22","4","2","0"
"6:39","5","3","0"
"6:37","6","1","0"
"6:41","7","3","0"
"6:50","8","1","0"
"6:55","9","1","0"
